what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1340950508971
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340950508971
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340950508987
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340950508987
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1340950508987
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1340950508987
os,sysinfo,,,"win32",1340950509003
arch,sysinfo,,,"x86",1340950509003
ws,sysinfo,,,"win32",1340950509003
locale,sysinfo,,,"iw_IL",1340950509003
processors,sysinfo,,,"4",1340950509003
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340950509003
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1340950509003
java.specification.name,sysinfo,,,"Java Platform API Specification",1340950509003
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340950509003
java.specification.version,sysinfo,,,"1.6",1340950509003
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340950509003
java.version,sysinfo,,,"1.6.0_30",1340950509003
java.vm.info,sysinfo,,,"mixed mode, sharing",1340950509003
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340950509003
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340950509003
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340950509003
java.vm.specification.version,sysinfo,,,"1.0",1340950509003
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340950509003
java.vm.version,sysinfo,,,"20.5-b03",1340950509003
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1340950509034
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340950528581
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1340950528745
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340950528870
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1340950528870
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1340950529073
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1340950529104
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1340950529119
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1340950529166
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1340950529197
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1340950529260
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1340950529275
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1340950529275
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1340950529275
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1340950529353
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1340950529400
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1340950529400
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1340950529400
